"","female_1","female_0","male_1","male_0","p_value","adjusted_p_value"
"RP4-756H11.5"," 0","95","  2","254","0.947430052271714","1"
"RP4-806M20.3"," 0","95","  4","252","0.509618073306557","1"
"RP5-1047A19.4"," 0","95","  1","255","0.999999999999996","1"
"RP5-1052I5.2"," 0","95","  1","255","0.999999999999996","1"
"RP5-1121E10.2"," 0","95","  1","255","0.999999999999996","1"
"RP5-981L23.2"," 0","95","  1","255","0.999999999999996","1"
"RP9"," 0","95","  2","254","0.947430052271714","1"
"RPA2"," 0","95","  1","255","0.999999999999996","1"
"RPA3"," 0","95","  2","254","0.947430052271714","1"
"RPAIN"," 0","95","  3","253","0.683910763467971","1"
"RPE"," 0","95","  1","255","0.999999999999996","1"
"RPF2"," 0","95","  3","253","0.683910763467971","1"
"RPL10A"," 0","95","  2","254","0.947430052271714","1"
"RPL12"," 0","95","  1","255","0.999999999999996","1"
"RPL13"," 0","95","  2","254","0.947430052271714","1"
"RPL13AP20"," 0","95","  2","254","0.947430052271714","1"
"RPL14"," 0","95","  1","255","0.999999999999996","1"
"RPL14P1"," 0","95","  3","253","0.683910763467971","1"
"RPL19"," 0","95","  2","254","0.947430052271714","1"
"RPL21P13"," 0","95","  2","254","0.947430052271714","1"
"RPL22P19"," 0","95","  1","255","0.999999999999996","1"
"RPL23"," 0","95","  2","254","0.947430052271714","1"
"RPL23AP82"," 0","95","  1","255","0.999999999999996","1"
"RPL26"," 0","95","  1","255","0.999999999999996","1"
"RPL26L1"," 0","95","  4","252","0.509618073306557","1"
"RPL27"," 0","95","  1","255","0.999999999999996","1"
"RPL27A"," 0","95","  2","254","0.947430052271714","1"
"RPL28"," 0","95","  2","254","0.947430052271714","1"
"RPL3"," 0","95","  1","255","0.999999999999996","1"
"RPL30"," 0","95","  1","255","0.999999999999996","1"
"RPL31"," 0","95","  1","255","0.999999999999996","1"
"RPL34"," 0","95","  1","255","0.999999999999996","1"
"RPL35A"," 0","95","  1","255","0.999999999999996","1"
"RPL37"," 0","95","  4","252","0.509618073306557","1"
"RPL39L"," 0","95","  2","254","0.947430052271714","1"
"RPL39P34"," 0","95","  1","255","0.999999999999996","1"
"RPL3L"," 0","95","  5","251","0.387006604221582","1"
"RPL4"," 0","95","  1","255","0.999999999999996","1"
"RPL41"," 0","95","  1","255","0.999999999999996","1"
"RPL5"," 0","95","  2","254","0.947430052271714","1"
"RPL6"," 0","95","  4","252","0.509618073306557","1"
"RPL7"," 0","95","  2","254","0.947430052271714","1"
"RPL8"," 0","95","  4","252","0.509618073306557","1"
"RPLP2"," 0","95","  1","255","0.999999999999996","1"
"RPN2"," 0","95","  1","255","0.999999999999996","1"
"RPP25L"," 0","95","  2","254","0.947430052271714","1"
"RPP30"," 0","95","  1","255","0.999999999999996","1"
"RPRD1A"," 0","95","  2","254","0.947430052271714","1"
"RPRD1B"," 0","95","  3","253","0.683910763467971","1"
"RPRM"," 0","95","  2","254","0.947430052271714","1"
"RPS10-NUDT3"," 0","95","  1","255","0.999999999999996","1"
"RPS12"," 0","95","  1","255","0.999999999999996","1"
"RPS15"," 0","95","  1","255","0.999999999999996","1"
"RPS16"," 0","95","  2","254","0.947430052271714","1"
"RPS18"," 0","95","  2","254","0.947430052271714","1"
"RPS18P6"," 0","95","  2","254","0.947430052271714","1"
"RPS21"," 0","95","  1","255","0.999999999999996","1"
"RPS27"," 0","95","  2","254","0.947430052271714","1"
"RPS27A"," 0","95","  1","255","0.999999999999996","1"
"RPS29"," 0","95","  3","253","0.683910763467971","1"
"RPS3A"," 0","95","  1","255","0.999999999999996","1"
"RPS3AP34"," 0","95","  3","253","0.683910763467971","1"
"RPS4Y1"," 0","95","  1","255","0.999999999999996","1"
"RPS5"," 0","95","  1","255","0.999999999999996","1"
"RPS6KA1"," 0","95","  4","252","0.509618073306557","1"
"RPS6KA4"," 0","95","  3","253","0.683910763467971","1"
"RPS6KB1"," 0","95","  1","255","0.999999999999996","1"
"RPS8"," 0","95","  2","254","0.947430052271714","1"
"RPSAP14"," 0","95","  2","254","0.947430052271714","1"
"RPUSD1"," 0","95","  1","255","0.999999999999996","1"
"RPUSD4"," 0","95","  4","252","0.509618073306557","1"
"RRAGA"," 0","95","  1","255","0.999999999999996","1"
"RRAGC"," 0","95","  2","254","0.947430052271714","1"
"RRH"," 0","95","  3","253","0.683910763467971","1"
"RRM1"," 0","95","  1","255","0.999999999999996","1"
"RRN3"," 0","95","  4","252","0.509618073306557","1"
"RRN3P2"," 0","95","  5","251","0.387006604221582","1"
"RRP36"," 0","95","  2","254","0.947430052271714","1"
"RRP7A"," 0","95","  2","254","0.947430052271714","1"
"RRP8"," 0","95","  3","253","0.683910763467971","1"
"RSAD1"," 0","95","  4","252","0.509618073306557","1"
"RSG1"," 0","95","  3","253","0.683910763467971","1"
"RSPH4A"," 0","95","  2","254","0.947430052271714","1"
"RSPO4"," 0","95","  1","255","0.999999999999996","1"
"RSPRY1"," 0","95","  4","252","0.509618073306557","1"
"RSRC2"," 0","95","  4","252","0.509618073306557","1"
"RSU1"," 0","95","  4","252","0.509618073306557","1"
"RTBDN"," 0","95","  3","253","0.683910763467971","1"
"RTCB"," 0","95","  4","252","0.509618073306557","1"
"RTEL1-TNFRSF6B"," 0","95","  1","255","0.999999999999996","1"
"RTFDC1"," 0","95","  4","252","0.509618073306557","1"
"RTKN"," 0","95","  1","255","0.999999999999996","1"
"RTL1"," 0","95"," 11","245","0.0876234325642093","1"
"RTN3"," 0","95","  1","255","0.999999999999996","1"
"RTN4IP1"," 0","95","  1","255","0.999999999999996","1"
"RTN4R"," 0","95","  1","255","0.999999999999996","1"
"RTN4RL1"," 0","95","  1","255","0.999999999999996","1"
"RTN4RL2"," 0","95","  1","255","0.999999999999996","1"
"RTP5"," 0","95","  3","253","0.683910763467971","1"
"RUFY4"," 0","95","  1","255","0.999999999999996","1"
"RUNDC1"," 0","95","  4","252","0.509618073306557","1"
"RUNDC3A"," 0","95","  1","255","0.999999999999996","1"
"RUVBL2"," 0","95","  2","254","0.947430052271714","1"
"RWDD2A"," 0","95","  1","255","0.999999999999996","1"
"RWDD2B"," 0","95","  1","255","0.999999999999996","1"
"RYBP"," 0","95","  1","255","0.999999999999996","1"
"RYK"," 0","95","  2","254","0.947430052271714","1"
"S100A1"," 0","95","  2","254","0.947430052271714","1"
"S100A12"," 0","95","  3","253","0.683910763467971","1"
"S100A13"," 0","95","  2","254","0.947430052271714","1"
"S100A14"," 0","95","  1","255","0.999999999999996","1"
"S100A16"," 0","95","  1","255","0.999999999999996","1"
"S100A3"," 0","95","  2","254","0.947430052271714","1"
"S100A6"," 0","95","  1","255","0.999999999999996","1"
"S100A8"," 0","95","  1","255","0.999999999999996","1"
"S100B"," 0","95","  1","255","0.999999999999996","1"
"S1PR2"," 0","95","  3","253","0.683910763467971","1"
"S1PR5"," 0","95","  3","253","0.683910763467971","1"
"SAA1"," 0","95","  2","254","0.947430052271714","1"
"SAA2"," 0","95","  1","255","0.999999999999996","1"
"SAA3P"," 0","95","  1","255","0.999999999999996","1"
"SAAL1"," 0","95","  1","255","0.999999999999996","1"
"SAC3D1"," 0","95","  1","255","0.999999999999996","1"
"SAG"," 0","95","  3","253","0.683910763467971","1"
"SAMD1"," 0","95","  1","255","0.999999999999996","1"
"SAMD10"," 0","95","  1","255","0.999999999999996","1"
"SAMD11"," 0","95","  3","253","0.683910763467971","1"
"SAMD12"," 0","95","  1","255","0.999999999999996","1"
"SAMD15"," 0","95","  2","254","0.947430052271714","1"
"SAMD4A"," 0","95","  5","251","0.387006604221582","1"
"SAMD5"," 0","95","  1","255","0.999999999999996","1"
"SAMSN1"," 0","95","  2","254","0.947430052271714","1"
"SAP130"," 0","95","  8","248","0.180085435015232","1"
"SAP30"," 0","95","  1","255","0.999999999999996","1"
"SAPCD1"," 0","95","  1","255","0.999999999999996","1"
"SAR1A"," 0","95","  2","254","0.947430052271714","1"
"SARAF"," 0","95","  2","254","0.947430052271714","1"
"SARM1"," 0","95","  1","255","0.999999999999996","1"
"SARS"," 0","95","  3","253","0.683910763467971","1"
"SAV1"," 0","95","  1","255","0.999999999999996","1"
"SAXO2"," 0","95","  4","252","0.509618073306557","1"
"SBDS"," 0","95","  4","252","0.509618073306557","1"
"SBDSP1"," 0","95","  1","255","0.999999999999996","1"
"SBF2"," 0","95","  3","253","0.683910763467971","1"
"SBK2"," 0","95","  2","254","0.947430052271714","1"
"SBNO2"," 0","95","  3","253","0.683910763467971","1"
"SCAF1"," 0","95","  2","254","0.947430052271714","1"
"SCAF11"," 0","95","  8","248","0.180085435015232","1"
"SCAF4"," 0","95","  6","250","0.297560863426362","1"
"SCAF8"," 0","95","  7","249","0.230767315986089","1"
"SCAI"," 0","95","  1","255","0.999999999999996","1"
"SCAMP5"," 0","95","  1","255","0.999999999999996","1"
"SCAP"," 0","95","  1","255","0.999999999999996","1"
"SCARA3"," 0","95","  3","253","0.683910763467971","1"
"SCARF1"," 0","95","  4","252","0.509618073306557","1"
"SCD5"," 0","95","  2","254","0.947430052271714","1"
"SCFD2"," 0","95","  2","254","0.947430052271714","1"
"SCG3"," 0","95","  3","253","0.683910763467971","1"
"SCG5"," 0","95","  4","252","0.509618073306557","1"
"SCGB1D1"," 0","95","  2","254","0.947430052271714","1"
"SCGB1D2"," 0","95","  2","254","0.947430052271714","1"
"SCGB1D4"," 0","95","  1","255","0.999999999999996","1"
"SCGB3A2"," 0","95","  2","254","0.947430052271714","1"
"SCN4B"," 0","95","  2","254","0.947430052271714","1"
"SCNN1D"," 0","95","  1","255","0.999999999999996","1"
"SCO1"," 0","95","  2","254","0.947430052271714","1"
"SCPEP1"," 0","95","  2","254","0.947430052271714","1"
"SCRN1"," 0","95","  5","251","0.387006604221582","1"
"SCRT2"," 0","95","  1","255","0.999999999999996","1"
"SCTR"," 0","95","  4","252","0.509618073306557","1"
"SCX"," 0","95","  1","255","0.999999999999996","1"
"SCYL1"," 0","95","  2","254","0.947430052271714","1"
"SDAD1"," 0","95","  2","254","0.947430052271714","1"
"SDC1"," 0","95","  2","254","0.947430052271714","1"
"SDC3"," 0","95","  1","255","0.999999999999996","1"
"SDF2L1"," 0","95","  2","254","0.947430052271714","1"
"SDF4"," 0","95","  1","255","0.999999999999996","1"
"SDHAF4"," 0","95","  1","255","0.999999999999996","1"
"SDHB"," 0","95","  1","255","0.999999999999996","1"
"SDHC"," 0","95","  2","254","0.947430052271714","1"
"SDPR"," 0","95","  3","253","0.683910763467971","1"
"SDR42E1"," 0","95","  4","252","0.509618073306557","1"
"SDS"," 0","95"," 10","246","0.11107773024816","1"
"SEC11A"," 0","95","  1","255","0.999999999999996","1"
"SEC13"," 0","95","  2","254","0.947430052271714","1"
"SEC14L2"," 0","95","  2","254","0.947430052271714","1"
"SEC14L5"," 0","95","  3","253","0.683910763467971","1"
"SEC23B"," 0","95","  8","248","0.180085435015232","1"
"SEC23IP"," 0","95","  5","251","0.387006604221582","1"
"SEC31B"," 0","95","  6","250","0.297560863426362","1"
"SEC61A1"," 0","95","  2","254","0.947430052271714","1"
"SEC61B"," 0","95","  1","255","0.999999999999996","1"
"SEC62"," 0","95","  2","254","0.947430052271714","1"
"SELE"," 0","95","  9","247","0.141186476464304","1"
"SELENBP1"," 0","95","  5","251","0.387006604221582","1"
"SELL"," 0","95","  6","250","0.297560863426362","1"
"SELV"," 0","95","  1","255","0.999999999999996","1"
"SEMA3B"," 0","95","  1","255","0.999999999999996","1"
"SEMA3F"," 0","95","  2","254","0.947430052271714","1"
"SEMA4B"," 0","95","  1","255","0.999999999999996","1"
"SEMA6A"," 0","95","  4","252","0.509618073306557","1"
"SEMG1"," 0","95","  6","250","0.297560863426362","1"
"SENP3"," 0","95","  1","255","0.999999999999996","1"
"SEP15"," 0","95","  1","255","0.999999999999996","1"
"SEPHS2"," 0","95","  3","253","0.683910763467971","1"
"SEPN1"," 0","95","  5","251","0.387006604221582","1"
"SEPT1"," 0","95","  3","253","0.683910763467971","1"
"SEPT11"," 0","95","  2","254","0.947430052271714","1"
"SEPT9"," 0","95","  1","255","0.999999999999996","1"
"SERF2"," 0","95","  5","251","0.387006604221582","1"
"SERHL"," 0","95","  2","254","0.947430052271714","1"
"SERP2"," 0","95","  2","254","0.947430052271714","1"
"SERPINB2"," 0","95","  4","252","0.509618073306557","1"
"SERPINB6"," 0","95","  6","250","0.297560863426362","1"
"SERPINC1"," 0","95","  2","254","0.947430052271714","1"
"SERPIND1"," 0","95","  2","254","0.947430052271714","1"
"SERPINH1"," 0","95","  2","254","0.947430052271714","1"
"SERTAD2"," 0","95","  1","255","0.999999999999996","1"
"SERTAD3"," 0","95","  3","253","0.683910763467971","1"
"SERTAD4"," 0","95","  2","254","0.947430052271714","1"
"SERTM1"," 0","95","  2","254","0.947430052271714","1"
"SESN3"," 0","95","  4","252","0.509618073306557","1"
"SET"," 0","95","  1","255","0.999999999999996","1"
"SETD3"," 0","95","  3","253","0.683910763467971","1"
"SETD6"," 0","95","  3","253","0.683910763467971","1"
"SETD7"," 0","95","  1","255","0.999999999999996","1"
"SETDB2"," 0","95","  3","253","0.683910763467971","1"
"SF3A2"," 0","95","  2","254","0.947430052271714","1"
"SF3A3"," 0","95","  4","252","0.509618073306557","1"
"SF3B4"," 0","95","  3","253","0.683910763467971","1"
"SFI1"," 0","95","  4","252","0.509618073306557","1"
"SFRP1"," 0","95","  2","254","0.947430052271714","1"
"SFRP4"," 0","95","  5","251","0.387006604221582","1"
"SFT2D2"," 0","95","  1","255","0.999999999999996","1"
"SFTA2"," 0","95","  2","254","0.947430052271714","1"
"SFTPA1"," 0","95","  6","250","0.297560863426362","1"
"SFTPD"," 0","95","  3","253","0.683910763467971","1"
"SFXN1"," 0","95","  2","254","0.947430052271714","1"
"SFXN2"," 0","95","  1","255","0.999999999999996","1"
"SFXN4"," 0","95","  2","254","0.947430052271714","1"
"SFXN5"," 0","95","  1","255","0.999999999999996","1"
"SGCG"," 0","95","  2","254","0.947430052271714","1"
"SGK3"," 0","95","  2","254","0.947430052271714","1"
"SGMS1"," 0","95","  3","253","0.683910763467971","1"
"SGMS1-AS1"," 0","95","  3","253","0.683910763467971","1"
"SGOL1"," 0","95","  2","254","0.947430052271714","1"
"SGPP1"," 0","95","  1","255","0.999999999999996","1"
"SGSH"," 0","95","  2","254","0.947430052271714","1"
"SGTA"," 0","95","  1","255","0.999999999999996","1"
"SH2D4B"," 0","95","  3","253","0.683910763467971","1"
"SH2D5"," 0","95","  6","250","0.297560863426362","1"
"SH2D6"," 0","95","  2","254","0.947430052271714","1"
"SH2D7"," 0","95","  1","255","0.999999999999996","1"
"SH3BP1"," 0","95","  1","255","0.999999999999996","1"
"SH3BP5"," 0","95","  1","255","0.999999999999996","1"
"SH3D19"," 0","95","  3","253","0.683910763467971","1"
"SH3GL3"," 0","95","  5","251","0.387006604221582","1"
"SHB"," 0","95","  2","254","0.947430052271714","1"
"SHBG"," 0","95","  4","252","0.509618073306557","1"
"SHCBP1"," 0","95","  3","253","0.683910763467971","1"
"SHH"," 0","95","  2","254","0.947430052271714","1"
"SHISA9"," 0","95","  1","255","0.999999999999996","1"
"SHQ1"," 0","95","  1","255","0.999999999999996","1"
"SHROOM1"," 0","95","  2","254","0.947430052271714","1"
"SIGIRR"," 0","95","  3","253","0.683910763467971","1"
"SIGLEC14"," 0","95","  5","251","0.387006604221582","1"
"SIGLEC15"," 0","95","  4","252","0.509618073306557","1"
"SIGLEC9"," 0","95","  7","249","0.230767315986089","1"
"SIGLECL1"," 0","95","  7","249","0.230767315986089","1"
"SIK2"," 0","95","  5","251","0.387006604221582","1"
"SIM2"," 0","95","  3","253","0.683910763467971","1"
"SIN3B"," 0","95","  4","252","0.509618073306557","1"
"SIPA1"," 0","95","  1","255","0.999999999999996","1"
"SIRT1"," 0","95","  2","254","0.947430052271714","1"
"SIRT3"," 0","95","  1","255","0.999999999999996","1"
"SIRT5"," 0","95","  1","255","0.999999999999996","1"
"SIT1"," 0","95","  1","255","0.999999999999996","1"
"SIX3"," 0","95","  5","251","0.387006604221582","1"
"SKAP2"," 0","95","  4","252","0.509618073306557","1"
"SKIDA1"," 0","95","  1","255","0.999999999999996","1"
"SKIL"," 0","95","  5","251","0.387006604221582","1"
"SKIV2L"," 0","95","  2","254","0.947430052271714","1"
"SKP1"," 0","95","  1","255","0.999999999999996","1"
"SKP2"," 0","95","  2","254","0.947430052271714","1"
"SLA2"," 0","95","  4","252","0.509618073306557","1"
"SLAIN1"," 0","95","  1","255","0.999999999999996","1"
"SLAMF8"," 0","95","  1","255","0.999999999999996","1"
"SLAMF9"," 0","95","  5","251","0.387006604221582","1"
"SLC10A6"," 0","95","  1","255","0.999999999999996","1"
"SLC11A1"," 0","95","  4","252","0.509618073306557","1"
"SLC13A2"," 0","95","  2","254","0.947430052271714","1"
"SLC14A1"," 0","95","  4","252","0.509618073306557","1"
"SLC15A3"," 0","95","  2","254","0.947430052271714","1"
"SLC16A11"," 0","95","  1","255","0.999999999999996","1"
"SLC16A7"," 0","95","  3","253","0.683910763467971","1"
"SLC16A8"," 0","95","  1","255","0.999999999999996","1"
"SLC17A1"," 0","95","  6","250","0.297560863426362","1"
"SLC17A7"," 0","95","  5","251","0.387006604221582","1"
"SLC18B1"," 0","95","  7","249","0.230767315986089","1"
"SLC1A1"," 0","95","  1","255","0.999999999999996","1"
"SLC1A7"," 0","95","  1","255","0.999999999999996","1"
"SLC20A2"," 0","95","  3","253","0.683910763467971","1"
"SLC22A14"," 0","95","  2","254","0.947430052271714","1"
"SLC22A15"," 0","95","  4","252","0.509618073306557","1"
"SLC22A17"," 0","95","  3","253","0.683910763467971","1"
"SLC22A18"," 0","95","  3","253","0.683910763467971","1"
"SLC22A23"," 0","95","  4","252","0.509618073306557","1"
"SLC22A4"," 0","95","  3","253","0.683910763467971","1"
"SLC23A1"," 0","95","  1","255","0.999999999999996","1"
"SLC25A10"," 0","95","  2","254","0.947430052271714","1"
"SLC25A11"," 0","95","  2","254","0.947430052271714","1"
"SLC25A12"," 0","95","  5","251","0.387006604221582","1"
"SLC25A15"," 0","95","  2","254","0.947430052271714","1"
"SLC25A17"," 0","95","  1","255","0.999999999999996","1"
"SLC25A18"," 0","95","  3","253","0.683910763467971","1"
"SLC25A2"," 0","95","  2","254","0.947430052271714","1"
"SLC25A22"," 0","95","  1","255","0.999999999999996","1"
"SLC25A30"," 0","95","  2","254","0.947430052271714","1"
"SLC25A31"," 0","95","  5","251","0.387006604221582","1"
"SLC25A32"," 0","95","  2","254","0.947430052271714","1"
"SLC25A33"," 0","95","  1","255","0.999999999999996","1"
"SLC25A35"," 0","95","  2","254","0.947430052271714","1"
"SLC25A36"," 0","95","  2","254","0.947430052271714","1"
"SLC25A4"," 0","95","  1","255","0.999999999999996","1"
"SLC25A43"," 0","95","  1","255","0.999999999999996","1"
"SLC25A48"," 0","95","  2","254","0.947430052271714","1"
"SLC25A53"," 0","95","  3","253","0.683910763467971","1"
"SLC25A6"," 0","95","  4","252","0.509618073306557","1"
"SLC26A2"," 0","95","  3","253","0.683910763467971","1"
"SLC26A8"," 0","95","  7","249","0.230767315986089","1"
"SLC26A9"," 0","95","  7","249","0.230767315986089","1"
"SLC28A1"," 0","95"," 13","243","0.0548347394491491","1"
"SLC28A2"," 0","95","  3","253","0.683910763467971","1"
