"","female_1","female_0","male_1","male_0","p_value","adjusted_p_value"
"A1CF"," 4","91"," 10","246","1","1"
"A2M"," 3","92"," 10","246","0.990600924893009","1"
"A2ML1"," 1","94"," 14","242","0.128395767845038","1"
"A4GNT"," 5","90","  6","250","0.293724357263609","1"
"AAAS"," 1","94","  1","255","1","1"
"AADAC"," 1","94","  5","251","0.908554613649432","1"
"AADACL2"," 1","94","  4","252","1","1"
"AADACL3"," 1","94","  3","253","0.999999999999992","1"
"AADACL4"," 2","93","  2","254","0.636637597230118","1"
"AADAT"," 2","93","  3","253","0.881751182552064","1"
"AAGAB"," 1","94","  3","253","0.999999999999992","1"
"AAK1"," 1","94","  3","253","0.999999999999992","1"
"AAMDC"," 1","94","  0","256","0.605203450856607","1"
"AARD"," 1","94","  3","253","0.999999999999992","1"
"AARS"," 1","94","  5","251","0.908554613649432","1"
"AARS2"," 3","92","  8","248","0.999999999999997","1"
"AASDH"," 1","94","  5","251","0.908554613649432","1"
"AASDHPPT"," 2","93","  1","255","0.369227083836679","1"
"AASS"," 4","91"," 10","246","1","1"
"ABAT"," 1","94","  2","254","0.999999999999992","1"
"ABCA1"," 7","88"," 13","243","0.573232764618429","1"
"ABCA10"," 3","92"," 18","238","0.268657972581423","1"
"ABCA12"," 3","92","  8","248","0.999999999999997","1"
"ABCA13","17","78"," 31","225","0.219907871499241","1"
"ABCA2"," 2","93","  6","250","0.999999999999998","1"
"ABCA3"," 2","93","  6","250","0.999999999999998","1"
"ABCA4"," 2","93"," 19","237","0.106810425796092","1"
"ABCA5"," 3","92","  7","249","0.999999999999996","1"
"ABCA6"," 5","90"," 10","246","0.793747200904389","1"
"ABCA8"," 4","91"," 20","236","0.342138027820193","1"
"ABCA9"," 4","91"," 22","234","0.244506169908925","1"
"ABCB1","10","85"," 16","240","0.258553002458301","1"
"ABCB10"," 3","92"," 10","246","0.990600924893009","1"
"ABCB11"," 2","93","  8","248","0.881432743834035","1"
"ABCB4"," 3","92"," 13","243","0.632415098509811","1"
"ABCB5"," 5","90"," 22","234","0.415081544339884","1"
"ABCB6"," 2","93","  4","252","0.999999999999999","1"
"ABCB7"," 5","90","  3","253","0.0601843139452382","1"
"ABCC1"," 3","92","  7","249","0.999999999999996","1"
"ABCC10"," 1","94"," 10","246","0.308414001408589","1"
"ABCC11"," 6","89"," 13","243","0.849440699595668","1"
"ABCC12"," 4","91"," 21","235","0.289780584390571","1"
"ABCC2"," 4","91","  7","249","0.718493878993268","1"
"ABCC3"," 2","93","  3","253","0.881751182552064","1"
"ABCC4"," 2","93","  2","254","0.636637597230118","1"
"ABCC5"," 4","91","  7","249","0.718493878993268","1"
"ABCC6"," 1","94","  4","252","1","1"
"ABCC8"," 4","91"," 14","242","0.839526263804131","1"
"ABCC9"," 2","93"," 14","242","0.291747473640824","1"
"ABCD1"," 4","91","  1","255","0.0295278869997594","1"
"ABCD2"," 6","89"," 14","242","0.964080035273778","1"
"ABCD3"," 3","92","  1","255","0.108660522638231","1"
"ABCD4"," 1","94","  2","254","0.999999999999992","1"
"ABCE1"," 1","94","  0","256","0.605203450856607","1"
"ABCF1"," 2","93","  3","253","0.881751182552064","1"
"ABCF2"," 1","94","  7","249","0.592298080633525","1"
"ABCF3"," 2","93","  7","249","0.999999999999997","1"
"ABCG2"," 3","92","  6","250","0.961141301354855","1"
"ABCG4"," 1","94","  7","249","0.592298080633525","1"
"ABCG5"," 1","94","  3","253","0.999999999999992","1"
"ABCG8"," 3","92"," 13","243","0.632415098509811","1"
"ABHD10"," 1","94","  3","253","0.999999999999992","1"
"ABHD12B"," 1","94","  0","256","0.605203450856607","1"
"ABHD16A"," 1","94","  2","254","0.999999999999992","1"
"ABHD16B"," 1","94","  1","255","1","1"
"ABHD17A"," 1","94","  0","256","0.605203450856607","1"
"ABHD17B"," 1","94","  2","254","0.999999999999992","1"
"ABHD4"," 1","94","  0","256","0.605203450856607","1"
"ABHD5"," 2","93","  2","254","0.636637597230118","1"
"ABHD6"," 1","94","  0","256","0.605203450856607","1"
"ABI1"," 1","94","  1","255","1","1"
"ABI2"," 1","94","  4","252","1","1"
"ABI3BP"," 1","94","  5","251","0.908554613649432","1"
"ABL2"," 2","93"," 12","244","0.428694300436154","1"
"ABLIM1"," 2","93","  7","249","0.999999999999997","1"
"ABR"," 2","93","  5","251","1","1"
"ABRA"," 1","94","  1","255","1","1"
"AC004381.6"," 1","94","  1","255","1","1"
"AC004980.7"," 1","94","  1","255","1","1"
"AC005017.2"," 1","94","  1","255","1","1"
"AC005251.3"," 1","94","  0","256","0.605203450856607","1"
"AC005307.3"," 1","94","  1","255","1","1"
"AC005863.1"," 1","94","  0","256","0.605203450856607","1"
"AC008984.5"," 1","94","  0","256","0.605203450856607","1"
"AC011453.3"," 1","94","  0","256","0.605203450856607","1"
"AC011467.1"," 5","90"," 10","246","0.793747200904389","1"
"AC015849.16"," 4","91","  6","250","0.566675816077286","1"
"AC016734.2"," 2","93","  0","256","0.125983856185046","1"
"AC016757.3"," 1","94","  3","253","0.999999999999992","1"
"AC022007.5"," 1","94","  0","256","0.605203450856607","1"
"AC024560.3"," 2","93","  4","252","0.999999999999999","1"
"AC027612.6"," 3","92","  3","253","0.416817710957982","1"
"AC061975.1"," 1","94","  5","251","0.908554613649432","1"
"AC068831.10"," 1","94","  1","255","1","1"
"AC073310.4"," 1","94","  3","253","0.999999999999992","1"
"AC073869.1"," 3","92","  2","254","0.245008904620463","1"
"AC073869.20"," 6","89"," 20","236","0.80541033910033","1"
"AC078899.1"," 1","94"," 12","244","0.199124806645727","1"
"AC080008.1"," 1","94","  4","252","1","1"
"AC083899.3"," 3","92","  3","253","0.416817710957982","1"
"AC090825.1"," 3","92","  7","249","0.999999999999996","1"
"AC091565.1"," 1","94","  3","253","0.999999999999992","1"
"AC092017.1"," 4","91","  4","252","0.282617602400756","1"
"AC092071.1"," 1","94","  3","253","0.999999999999992","1"
"AC093838.4"," 2","93","  9","247","0.742124259250047","1"
"AC096579.13"," 1","94","  3","253","0.999999999999992","1"
"AC104389.1"," 1","94","  0","256","0.605203450856607","1"
"AC116165.1"," 2","93","  6","250","0.999999999999998","1"
"AC124312.1"," 2","93"," 20","236","0.0868672708262486","1"
"AC126407.1"," 1","94","  0","256","0.605203450856607","1"
"AC243562.1"," 1","94","  1","255","1","1"
"ACACA"," 5","90"," 10","246","0.793747200904389","1"
"ACACB"," 8","87"," 25","231","0.858982219666862","1"
"ACAD10"," 2","93","  4","252","0.999999999999999","1"
"ACAD9"," 4","91","  4","252","0.282617602400756","1"
"ACADL"," 1","94","  3","253","0.999999999999992","1"
"ACADM"," 1","94","  5","251","0.908554613649432","1"
"ACAN"," 6","89"," 24","232","0.486449043917354","1"
"ACAP1"," 2","93","  2","254","0.636637597230118","1"
"ACAP2"," 1","94","  4","252","1","1"
"ACBD4"," 1","94","  2","254","0.999999999999992","1"
"ACCS"," 1","94","  4","252","1","1"
"ACCSL"," 2","93","  7","249","0.999999999999997","1"
"ACD"," 2","93","  2","254","0.636637597230118","1"
"ACE"," 1","94","  7","249","0.592298080633525","1"
"ACE2"," 5","90","  3","253","0.0601843139452382","1"
"ACER1"," 2","93","  3","253","0.881751182552064","1"
"ACHE"," 1","94","  3","253","0.999999999999992","1"
"ACIN1"," 2","93","  4","252","0.999999999999999","1"
"ACKR1"," 4","91","  6","250","0.566675816077286","1"
"ACKR2"," 3","92","  2","254","0.245008904620463","1"
"ACKR4"," 1","94","  3","253","0.999999999999992","1"
"ACMSD"," 1","94","  2","254","0.999999999999992","1"
"ACO1"," 1","94","  2","254","0.999999999999992","1"
"ACO2"," 1","94","  2","254","0.999999999999992","1"
"ACOT11"," 1","94","  0","256","0.605203450856607","1"
"ACOT2"," 1","94","  3","253","0.999999999999992","1"
"ACOT4"," 2","93","  0","256","0.125983856185046","1"
"ACOT6"," 1","94","  2","254","0.999999999999992","1"
"ACOT9"," 1","94","  1","255","1","1"
"ACOX1"," 1","94","  6","250","0.734554681133856","1"
"ACOX2"," 2","93","  0","256","0.125983856185046","1"
"ACP1"," 1","94","  4","252","1","1"
"ACP6"," 1","94","  1","255","1","1"
"ACPP"," 2","93","  1","255","0.369227083836679","1"
"ACPT"," 1","94","  3","253","0.999999999999992","1"
"ACR"," 1","94","  0","256","0.605203450856607","1"
"ACRBP"," 1","94","  3","253","0.999999999999992","1"
"ACRC"," 2","93","  1","255","0.369227083836679","1"
"ACRV1"," 2","93","  2","254","0.636637597230118","1"
"ACSBG1"," 4","91"," 12","244","0.999999999999997","1"
"ACSF3"," 2","93","  0","256","0.125983856185046","1"
"ACSL3"," 1","94","  1","255","1","1"
"ACSL4"," 1","94","  0","256","0.605203450856607","1"
"ACSL6"," 2","93","  7","249","0.999999999999997","1"
"ACSM1"," 2","93","  9","247","0.742124259250047","1"
"ACSM2A"," 5","90"," 14","242","1","1"
"ACSM2B"," 3","92"," 14","242","0.537760765237931","1"
"ACSM3"," 1","94","  6","250","0.734554681133856","1"
"ACSM4"," 2","93"," 10","246","0.620997873432888","1"
"ACSM5"," 4","91"," 10","246","1","1"
"ACSM6"," 1","94","  1","255","1","1"
"ACSS1"," 1","94","  7","249","0.592298080633525","1"
"ACSS2"," 1","94","  0","256","0.605203450856607","1"
"ACSS3"," 4","91"," 14","242","0.839526263804131","1"
"ACTA1"," 4","91","  4","252","0.282617602400756","1"
"ACTB"," 1","94","  5","251","0.908554613649432","1"
"ACTBL2"," 1","94","  5","251","0.908554613649432","1"
"ACTC1"," 5","90"," 13","243","0.999999999999998","1"
"ACTG1"," 1","94","  2","254","0.999999999999992","1"
"ACTG2"," 3","92","  6","250","0.961141301354855","1"
"ACTL6A"," 1","94","  0","256","0.605203450856607","1"
"ACTL6B"," 2","93","  3","253","0.881751182552064","1"
"ACTL7B"," 1","94","  0","256","0.605203450856607","1"
"ACTL8"," 1","94","  3","253","0.999999999999992","1"
"ACTL9"," 3","92","  5","251","0.78756460509902","1"
"ACTN1"," 3","92","  3","253","0.416817710957982","1"
"ACTN2"," 3","92"," 16","240","0.383198785127601","1"
"ACTN3"," 1","94","  6","250","0.734554681133856","1"
"ACTN4"," 1","94","  7","249","0.592298080633525","1"
"ACTR10"," 2","93","  3","253","0.881751182552064","1"
"ACTR1A"," 2","93","  1","255","0.369227083836679","1"
"ACTR1B"," 1","94","  2","254","0.999999999999992","1"
"ACTR3"," 2","93","  3","253","0.881751182552064","1"
"ACTR3B"," 1","94","  1","255","1","1"
"ACTR3C"," 1","94","  1","255","1","1"
"ACTR5"," 2","93","  2","254","0.636637597230118","1"
"ACTR8"," 1","94","  2","254","0.999999999999992","1"
"ACTRT1"," 4","91","  8","248","0.867609436433505","1"
"ACTRT2"," 2","93","  3","253","0.881751182552064","1"
"ACTRT3"," 1","94","  7","249","0.592298080633525","1"
"ACVR1"," 1","94","  2","254","0.999999999999992","1"
"ACVR1B"," 1","94","  7","249","0.592298080633525","1"
"ACVR1C"," 2","93","  6","250","0.999999999999998","1"
"ACVRL1"," 2","93","  5","251","1","1"
"ACY3"," 1","94","  2","254","0.999999999999992","1"
"ADAD1"," 3","92","  7","249","0.999999999999996","1"
"ADAM11"," 1","94","  3","253","0.999999999999992","1"
"ADAM15"," 3","92","  4","252","0.602897373489306","1"
"ADAM17"," 1","94","  2","254","0.999999999999992","1"
"ADAM18"," 6","89"," 16","240","0.999999999999996","1"
"ADAM19"," 5","90","  8","248","0.532395057356703","1"
"ADAM2"," 6","89"," 20","236","0.80541033910033","1"
"ADAM21"," 3","92","  9","247","0.999999999999999","1"
"ADAM21P1"," 4","91","  6","250","0.566675816077286","1"
"ADAM22"," 3","92"," 15","241","0.454971054635889","1"
"ADAM23"," 5","90","  7","249","0.407767841074619","1"
"ADAM28"," 1","94","  9","247","0.383611962248682","1"
"ADAM29"," 3","92"," 13","243","0.632415098509811","1"
"ADAM30"," 2","93","  3","253","0.881751182552064","1"
"ADAM32"," 1","94","  7","249","0.592298080633525","1"
"ADAM33"," 2","93","  8","248","0.881432743834035","1"
"ADAM7"," 1","94"," 13","243","0.159922817137625","1"
"ADAM8"," 1","94","  5","251","0.908554613649432","1"
"ADAM9"," 2","93","  7","249","0.999999999999997","1"
"ADAMDEC1"," 1","94","  4","252","1","1"
"ADAMTS1"," 4","91","  1","255","0.0295278869997594","1"
"ADAMTS10"," 1","94","  7","249","0.592298080633525","1"
"ADAMTS12","19","76"," 47","209","0.844787100657139","1"
"ADAMTS13"," 2","93","  5","251","1","1"
"ADAMTS14"," 1","94","  6","250","0.734554681133856","1"
"ADAMTS15"," 3","92","  4","252","0.602897373489306","1"
"ADAMTS16","10","85"," 31","225","0.823344316897315","1"
"ADAMTS17"," 4","91","  8","248","0.867609436433505","1"
"ADAMTS18"," 4","91"," 23","233","0.205575381753032","1"
"ADAMTS19"," 1","94"," 19","237","0.0425585841064075","1"
"ADAMTS2"," 4","91"," 11","245","0.999999999999998","1"
"ADAMTS20","14","81"," 29","227","0.495116403913019","1"
"ADAMTS3"," 2","93"," 15","241","0.239671941308115","1"
"ADAMTS4"," 3","92"," 10","246","0.990600924893009","1"
"ADAMTS5"," 5","90"," 12","244","0.999999999999997","1"
"ADAMTS6"," 3","92"," 16","240","0.383198785127601","1"
"ADAMTS7"," 7","88","  9","247","0.211458039331507","1"
"ADAMTS8"," 3","92","  3","253","0.416817710957982","1"
"ADAMTS9"," 2","93","  9","247","0.742124259250047","1"
"ADAMTSL1"," 2","93"," 11","245","0.517040161659325","1"
"ADAMTSL2"," 2","93","  1","255","0.369227083836679","1"
"ADAMTSL3"," 5","90"," 16","240","0.925838559591997","1"
"ADAMTSL4"," 2","93","  2","254","0.636637597230118","1"
"ADAP1"," 1","94","  0","256","0.605203450856607","1"
"ADAR"," 3","92","  7","249","0.999999999999996","1"
"ADARB1"," 2","93","  2","254","0.636637597230118","1"
"ADARB2"," 1","94"," 13","243","0.159922817137625","1"
"ADAT1"," 1","94","  4","252","1","1"
"ADCK1"," 2","93","  4","252","0.999999999999999","1"
"ADCY1"," 2","93"," 13","243","0.354191511198872","1"
"ADCY10"," 5","90"," 12","244","0.999999999999997","1"
"ADCY2"," 5","90"," 17","239","0.821801589194544","1"
"ADCY3"," 3","92","  6","250","0.961141301354855","1"
"ADCY4"," 6","89","  4","252","0.0436779302658856","1"
"ADCY5"," 2","93"," 11","245","0.517040161659325","1"
"ADCY6"," 1","94","  8","248","0.476878026262975","1"
"ADCY7"," 1","94","  3","253","0.999999999999992","1"
"ADCY8"," 6","89"," 25","231","0.423532683117254","1"
"ADCY9"," 2","93","  4","252","0.999999999999999","1"
"ADCYAP1R1"," 5","90","  7","249","0.407767841074619","1"
"ADD2"," 1","94","  6","250","0.734554681133856","1"
"ADD3"," 1","94","  2","254","0.999999999999992","1"
"ADGRA1"," 3","92","  5","251","0.78756460509902","1"
"ADGRA2"," 3","92","  5","251","0.78756460509902","1"
"ADGRA3"," 6","89","  6","250","0.136497771986888","1"
"ADGRB1"," 4","91"," 16","240","0.636050228872229","1"
"ADGRB2"," 1","94"," 12","244","0.199124806645727","1"
"ADGRB3","14","81"," 38","218","1","1"
"ADGRD1"," 2","93","  6","250","0.999999999999998","1"
"ADGRE1"," 3","92"," 11","245","0.859096246449638","1"
"ADGRE2"," 7","88","  7","249","0.0960754692644127","1"
"ADGRE3"," 3","92","  6","250","0.961141301354855","1"
"ADGRE4P"," 2","93","  6","250","0.999999999999998","1"
"ADGRF1"," 1","94","  3","253","0.999999999999992","1"
"ADGRF2"," 1","94","  4","252","1","1"
"ADGRF3"," 2","93","  2","254","0.636637597230118","1"
"ADGRF5"," 4","91"," 13","243","0.954865287915072","1"
"ADGRG1"," 1","94","  2","254","0.999999999999992","1"
"ADGRG2"," 2","93","  4","252","0.999999999999999","1"
"ADGRG3"," 1","94","  5","251","0.908554613649432","1"
"ADGRG4","23","72"," 15","241","2.32465533496297e-06","0.0413323718556415"
"ADGRG5"," 1","94","  5","251","0.908554613649432","1"
"ADGRG6"," 1","94","  6","250","0.734554681133856","1"
"ADGRG7"," 5","90","  3","253","0.0601843139452382","1"
"ADGRL1"," 2","93","  5","251","1","1"
"ADGRL2"," 4","91"," 16","240","0.636050228872229","1"
"ADGRL3","11","84"," 27","229","0.933718185317505","1"
"ADGRL4"," 5","90"," 19","237","0.635530170978794","1"
"ADGRV1","15","80"," 30","226","0.404356904094156","1"
"ADH1A"," 2","93","  2","254","0.636637597230118","1"
"ADH1B"," 2","93","  4","252","0.999999999999999","1"
"ADH4"," 2","93","  2","254","0.636637597230118","1"
"ADH6"," 1","94","  3","253","0.999999999999992","1"
"ADHFE1"," 1","94","  4","252","1","1"
"ADIPOQ"," 1","94","  1","255","1","1"
"ADIPOR1"," 1","94","  1","255","1","1"
"ADK"," 1","94","  0","256","0.605203450856607","1"
"ADNP2"," 3","92","  3","253","0.416817710957982","1"
"ADORA2A"," 1","94","  5","251","0.908554613649432","1"
"ADORA3"," 1","94","  2","254","0.999999999999992","1"
"ADPRH"," 3","92","  1","255","0.108660522638231","1"
"ADRA1A"," 2","93","  8","248","0.881432743834035","1"
"ADRA1B"," 1","94","  2","254","0.999999999999992","1"
"ADRA2A"," 2","93","  2","254","0.636637597230118","1"
"ADRA2B"," 1","94","  5","251","0.908554613649432","1"
"ADSL"," 1","94","  2","254","0.999999999999992","1"
"ADSS"," 1","94","  3","253","0.999999999999992","1"
"ADSSL1"," 2","93","  4","252","0.999999999999999","1"
"AEBP2"," 1","94","  2","254","0.999999999999992","1"
"AEN"," 1","94","  2","254","0.999999999999992","1"
"AF254983.1"," 3","92","  7","249","0.999999999999996","1"
"AFAP1L1"," 1","94","  5","251","0.908554613649432","1"
"AFF1"," 3","92","  6","250","0.961141301354855","1"
"AFF2"," 8","87"," 13","243","0.357575507496042","1"
"AFF3"," 5","90"," 15","241","0.999999999999999","1"
"AFF4"," 2","93","  4","252","0.999999999999999","1"
"AFG3L2"," 1","94","  6","250","0.734554681133856","1"
"AFM"," 1","94","  2","254","0.999999999999992","1"
"AFP"," 1","94","  6","250","0.734554681133856","1"
"AFTPH"," 1","94","  5","251","0.908554613649432","1"
"AGA"," 1","94","  4","252","1","1"
"AGAP1"," 1","94","  4","252","1","1"
"AGAP10P"," 1","94","  0","256","0.605203450856607","1"
"AGAP2"," 3","92","  7","249","0.999999999999996","1"
"AGAP3"," 3","92","  2","254","0.245008904620463","1"
"AGAP4"," 1","94","  4","252","1","1"
"AGAP5"," 1","94","  1","255","1","1"
"AGAP6"," 1","94","  4","252","1","1"
"AGAP7P"," 1","94","  7","249","0.592298080633525","1"
"AGAP9"," 2","93","  2","254","0.636637597230118","1"
"AGBL1"," 2","93"," 12","244","0.428694300436154","1"
"AGBL2"," 2","93","  5","251","1","1"
"AGBL4"," 1","94","  2","254","0.999999999999992","1"
"AGBL5"," 2","93","  4","252","0.999999999999999","1"
"AGFG1"," 3","92","  1","255","0.108660522638231","1"
"AGFG2"," 1","94","  0","256","0.605203450856607","1"
"AGGF1"," 2","93","  4","252","0.999999999999999","1"
"AGL"," 1","94"," 10","246","0.308414001408589","1"
"AGMO"," 3","92"," 11","245","0.859096246449638","1"
"AGO1"," 1","94","  5","251","0.908554613649432","1"
"AGO2"," 1","94","  2","254","0.999999999999992","1"
"AGO3"," 1","94","  4","252","1","1"
"AGO4"," 1","94","  4","252","1","1"
"AGPAT1"," 1","94","  3","253","0.999999999999992","1"
"AGPAT2"," 1","94","  0","256","0.605203450856607","1"
"AGPAT4"," 1","94","  2","254","0.999999999999992","1"
"AGPAT5"," 1","94","  1","255","1","1"
"AGPAT9"," 2","93","  3","253","0.881751182552064","1"
"AGPS"," 1","94","  4","252","1","1"
"AGRN"," 1","94","  4","252","1","1"
"AGRP"," 1","94","  2","254","0.999999999999992","1"
"AGTPBP1"," 2","93","  1","255","0.369227083836679","1"
"AGTR1"," 3","92"," 12","244","0.739495895944626","1"
"AGTR2"," 2","93","  3","253","0.881751182552064","1"
"AGTRAP"," 1","94","  2","254","0.999999999999992","1"
"AGXT2"," 1","94","  8","248","0.476878026262975","1"
"AHCTF1"," 6","89"," 13","243","0.849440699595668","1"
"AHCYL2"," 1","94","  3","253","0.999999999999992","1"
"AHDC1"," 1","94","  6","250","0.734554681133856","1"
"AHI1"," 1","94","  5","251","0.908554613649432","1"
"AHNAK","12","83"," 33","223","0.999999999999999","1"
"AHNAK2","12","83"," 33","223","0.999999999999999","1"
"AHRR"," 6","89"," 10","246","0.500565198420244","1"
"AHSG"," 1","94","  4","252","1","1"
"AICDA"," 2","93","  5","251","1","1"
"AIFM1"," 1","94","  1","255","1","1"
"AIM1"," 1","94","  8","248","0.476878026262975","1"
"AIM1L"," 2","93","  2","254","0.636637597230118","1"
"AIM2"," 2","93","  3","253","0.881751182552064","1"
"AIMP1"," 1","94","  1","255","1","1"
"AIMP2"," 2","93","  2","254","0.636637597230118","1"
"AIPL1"," 1","94","  3","253","0.999999999999992","1"
"AIRE"," 4","91","  2","254","0.0820750576953345","1"
"AJ271736.1"," 1","94","  0","256","0.605203450856607","1"
"AJAP1"," 1","94","  3","253","0.999999999999992","1"
"AK1"," 1","94","  0","256","0.605203450856607","1"
"AK5"," 3","92"," 10","246","0.990600924893009","1"
"AK7"," 1","94","  5","251","0.908554613649432","1"
"AK8"," 1","94","  3","253","0.999999999999992","1"
"AK9"," 5","90","  9","247","0.662562128500379","1"
"AKAP1"," 1","94","  3","253","0.999999999999992","1"
"AKAP11"," 2","93","  8","248","0.881432743834035","1"
"AKAP12"," 2","93","  6","250","0.999999999999998","1"
"AKAP13"," 7","88"," 19","237","1","1"
"AKAP14"," 1","94","  0","256","0.605203450856607","1"
"AKAP17A"," 4","91","  7","249","0.718493878993268","1"
"AKAP3"," 3","92"," 13","243","0.632415098509811","1"
"AKAP4"," 3","92","  4","252","0.602897373489306","1"
"AKAP5"," 2","93","  0","256","0.125983856185046","1"
"AKAP6"," 7","88"," 18","238","0.999999999999999","1"
"AKAP7"," 1","94","  2","254","0.999999999999992","1"
"AKAP8"," 4","91","  1","255","0.0295278869997594","1"
"AKAP9"," 9","86"," 20","236","0.776353894073788","1"
"AKIP1"," 1","94","  1","255","1","1"
"AKNA"," 1","94","  5","251","0.908554613649432","1"
"AKNAD1"," 2","93","  3","253","0.881751182552064","1"
"AKR1B1"," 1","94","  2","254","0.999999999999992","1"
"AKR1C1"," 1","94","  2","254","0.999999999999992","1"
"AKR1C2"," 1","94","  0","256","0.605203450856607","1"
"AKR1C3"," 1","94","  1","255","1","1"
"AKR1D1"," 3","92","  7","249","0.999999999999996","1"
"AKR7A2"," 1","94","  1","255","1","1"
"AKR7L"," 1","94","  1","255","1","1"
"AKT1"," 3","92","  2","254","0.245008904620463","1"
"AKT2"," 2","93","  5","251","1","1"
"AL022328.1"," 1","94","  0","256","0.605203450856607","1"
"AL078471.5"," 6","89"," 20","236","0.80541033910033","1"
"AL161651.1"," 3","92","  2","254","0.245008904620463","1"
"AL354820.1"," 1","94","  1","255","1","1"
"AL391261.1"," 3","92","  7","249","0.999999999999996","1"
"AL589931.1"," 1","94","  1","255","1","1"
"ALAS1"," 1","94","  0","256","0.605203450856607","1"
"ALAS2"," 2","93","  7","249","0.999999999999997","1"
"ALB"," 3","92","  7","249","0.999999999999996","1"
"ALDH16A1"," 1","94","  2","254","0.999999999999992","1"
"ALDH18A1"," 4","91","  3","253","0.167725234970293","1"
"ALDH1A1"," 2","93","  2","254","0.636637597230118","1"
"ALDH1A2"," 3","92","  5","251","0.78756460509902","1"
"ALDH1B1"," 3","92","  2","254","0.245008904620463","1"
"ALDH1L1"," 2","93","  8","248","0.881432743834035","1"
"ALDH2"," 2","93","  2","254","0.636637597230118","1"
"ALDH3A1"," 1","94","  7","249","0.592298080633525","1"
"ALDH3B2"," 2","93","  1","255","0.369227083836679","1"
"ALDH4A1"," 2","93","  1","255","0.369227083836679","1"
"ALDH8A1"," 2","93","  6","250","0.999999999999998","1"
"ALDH9A1"," 2","93","  4","252","0.999999999999999","1"
"ALDOA"," 1","94","  2","254","0.999999999999992","1"
"ALDOB"," 1","94","  1","255","1","1"
"ALG10B"," 3","92","  0","256","0.0275964000478491","1"
"ALG12"," 1","94","  0","256","0.605203450856607","1"
"ALG13"," 6","89","  2","254","0.00726548668976346","1"
"ALG1L2"," 1","94","  1","255","1","1"
"ALG2"," 1","94","  2","254","0.999999999999992","1"
"ALG5"," 2","93","  2","254","0.636637597230118","1"
"ALG6"," 1","94","  2","254","0.999999999999992","1"
"ALG8"," 2","93","  4","252","0.999999999999999","1"
"ALK"," 1","94","  9","247","0.383611962248682","1"
"ALKBH1"," 1","94","  2","254","0.999999999999992","1"
"ALKBH3"," 1","94","  2","254","0.999999999999992","1"
"ALKBH8"," 1","94","  2","254","0.999999999999992","1"
"ALLC"," 1","94","  6","250","0.734554681133856","1"
"ALMS1","12","83"," 23","233","0.416348383929059","1"
"ALOX15B"," 3","92","  2","254","0.245008904620463","1"
"ALOX5"," 1","94","  5","251","0.908554613649432","1"
"ALPI"," 2","93","  2","254","0.636637597230118","1"
"ALPK1"," 3","92","  9","247","0.999999999999999","1"
"ALPK2"," 8","87"," 16","240","0.632631795011","1"
"ALPK3"," 4","91"," 14","242","0.839526263804131","1"
"ALPP"," 3","92","  6","250","0.961141301354855","1"
"ALPPL2"," 3","92","  3","253","0.416817710957982","1"
"ALS2"," 7","88"," 11","245","0.375182240106314","1"
"ALS2CL"," 2","93","  2","254","0.636637597230118","1"
"ALS2CR11"," 2","93","  2","254","0.636637597230118","1"
"ALX1"," 1","94","  6","250","0.734554681133856","1"
"ALX4"," 2","93","  4","252","0.999999999999999","1"
"AMACR"," 1","94","  3","253","0.999999999999992","1"
"AMBN"," 4","91","  4","252","0.282617602400756","1"
"AMBP"," 1","94","  1","255","1","1"
"AMBRA1"," 3","92","  6","250","0.961141301354855","1"
"AMDHD2"," 3","92","  5","251","0.78756460509902","1"
"AMELX"," 1","94","  1","255","1","1"
"AMER1","11","84","  6","250","0.000963309929421993","1"
"AMER2"," 3","92","  7","249","0.999999999999996","1"
"AMER3"," 9","86"," 19","237","0.682786671022409","1"
"AMFR"," 1","94","  3","253","0.999999999999992","1"
"AMHR2"," 2","93","  3","253","0.881751182552064","1"
"AMIGO2"," 1","94","  1","255","1","1"
"AMMECR1"," 1","94","  0","256","0.605203450856607","1"
"AMN1"," 1","94","  1","255","1","1"
"AMOT"," 5","90","  5","251","0.19529909178469","1"
"AMOTL1"," 1","94","  3","253","0.999999999999992","1"
"AMPD2"," 1","94","  3","253","0.999999999999992","1"
"AMPD3"," 3","92","  4","252","0.602897373489306","1"
"AMPH"," 4","91"," 21","235","0.289780584390571","1"
"AMTN"," 1","94","  5","251","0.908554613649432","1"
"AMY1A"," 1","94","  1","255","1","1"
"AMY1B"," 3","92","  0","256","0.0275964000478491","1"
"AMY1C"," 3","92","  1","255","0.108660522638231","1"
"AMY2A"," 3","92","  5","251","0.78756460509902","1"
"AMY2B"," 3","92","  7","249","0.999999999999996","1"
"AMZ1"," 2","93","  2","254","0.636637597230118","1"
"AMZ2"," 1","94","  1","255","1","1"
"ANAPC1"," 3","92","  4","252","0.602897373489306","1"
"ANAPC15"," 1","94","  3","253","0.999999999999992","1"
"ANAPC1P1"," 3","92","  4","252","0.602897373489306","1"
"ANAPC2"," 3","92","  2","254","0.245008904620463","1"
"ANAPC4"," 3","92","  3","253","0.416817710957982","1"
"ANAPC7"," 1","94","  0","256","0.605203450856607","1"
"ANGEL1"," 1","94","  5","251","0.908554613649432","1"
"ANGPT1"," 2","93","  3","253","0.881751182552064","1"
"ANGPT2"," 2","93","  5","251","1","1"
"ANGPTL3"," 1","94","  0","256","0.605203450856607","1"
