"","female_1","female_0","male_1","male_0","p_value","adjusted_p_value"
"ZNF354B","  1","168"," 12","266","0.0474462366432178","0.685742481328244"
"ZNF354C","  4","165","  7","271","0.999999999999997","1"
"ZNF362","  3","166","  4","274","1","1"
"ZNF365","  4","165"," 14","264","0.252683629677218","0.949148852110599"
"ZNF366","  7","162"," 14","264","0.839412432110929","1"
"ZNF367","  1","168","  3","275","0.989831728180177","1"
"ZNF37BP","  1","168","  9","269","0.132504078985264","0.806715694828861"
"ZNF382","  4","165"," 10","268","0.65695881885658","1"
"ZNF383","  1","168","  4","274","0.717302983522395","1"
"ZNF384","  2","167","  9","269","0.296308464224681","0.949148852110599"
"ZNF385A","  1","168","  5","273","0.514815337354971","1"
"ZNF385B","  5","164"," 14","264","0.415675632008957","1"
"ZNF385C","  1","168","  1","277","1","1"
"ZNF385D"," 14","155"," 38","240","0.116464233514334","0.806715694828861"
"ZNF391","  3","166"," 13","265","0.180748220410221","0.883477940569606"
"ZNF394","  2","167","  4","274","0.999999999999998","1"
"ZNF395","  2","167","  9","269","0.296308464224681","0.949148852110599"
"ZNF396","  1","168","  6","272","0.367718773581616","1"
"ZNF397","  1","168","  4","274","0.717302983522395","1"
"ZNF398","  2","167","  5","273","0.908349341118826","1"
"ZNF404","  6","163","  8","270","0.907744835795785","1"
"ZNF407"," 11","158"," 17","261","0.999999999999995","1"
"ZNF408","  4","165","  8","270","0.982227814027532","1"
"ZNF41"," 10","159","  8","270","0.1812241344076","0.883477940569606"
"ZNF410","  1","168","  3","275","0.989831728180177","1"
"ZNF414","  2","167","  2","276","1","1"
"ZNF415","  5","164"," 15","263","0.330729705849002","0.987943793141786"
"ZNF416","  4","165","  2","276","0.296541092912456","0.949148852110599"
"ZNF418","  6","163"," 15","263","0.506930961603421","1"
"ZNF419","  2","167","  8","270","0.398256320216477","1"
"ZNF420","  2","167"," 10","268","0.218986051780858","0.918488975969745"
"ZNF423"," 11","158"," 28","250","0.2620266647231","0.949148852110599"
"ZNF425","  4","165"," 16","262","0.14861115899602","0.848815341542669"
"ZNF428","  2","167","  3","275","1","1"
"ZNF429","  4","165","  9","269","0.809641829012585","1"
"ZNF43","  6","163"," 13","265","0.74106296473811","1"
"ZNF430","  5","164"," 11","267","0.773068202877066","1"
"ZNF431","  2","167","  6","272","0.699518850960407","1"
"ZNF432","  1","168","  6","272","0.367718773581616","1"
"ZNF436","  2","167","  8","270","0.398256320216477","1"
"ZNF438","  3","166"," 19","259","0.0298302973950501","0.641621884451483"
"ZNF439","  2","167","  7","271","0.530748471454201","1"
"ZNF44","  2","167","  6","272","0.699518850960407","1"
"ZNF440","  7","162"," 11","267","0.999999999999999","1"
"ZNF441","  1","168","  9","269","0.132504078985264","0.806715694828861"
"ZNF442","  2","167"," 13","265","0.0858684854072248","0.757847640476094"
"ZNF443","  3","166"," 11","267","0.315323055617518","0.977353958805452"
"ZNF444","  1","168","  1","277","1","1"
"ZNF445","  6","163"," 14","264","0.61648674666399","1"
"ZNF446","  1","168","  5","273","0.514815337354971","1"
"ZNF449","  2","167","  4","274","0.999999999999998","1"
"ZNF45","  2","167","  4","274","0.999999999999998","1"
"ZNF451","  1","168"," 15","263","0.0169152027733778","0.568788007759108"
"ZNF454","  5","164"," 23","255","0.0406214887044062","0.685742481328244"
"ZNF460","  2","167","  5","273","0.908349341118826","1"
"ZNF461","  1","168","  1","277","1","1"
"ZNF462","  9","160"," 20","258","0.562020403721535","1"
"ZNF467","  1","168","  3","275","0.989831728180177","1"
"ZNF468","  3","166"," 10","268","0.411442908611441","1"
"ZNF470","  7","162"," 13","265","0.976843610253101","1"
"ZNF471","  2","167"," 13","265","0.0858684854072248","0.757847640476094"
"ZNF473","  1","168"," 10","268","0.0941365412071712","0.757847640476094"
"ZNF474","  3","166"," 13","265","0.180748220410221","0.883477940569606"
"ZNF479","  9","160"," 34","244","0.0253955925708654","0.630935582871782"
"ZNF48","  3","166","  8","270","0.67829183294966","1"
"ZNF480","  6","163","  9","269","0.999999999999999","1"
"ZNF483","  4","165"," 11","267","0.525863630332","1"
"ZNF484","  3","166"," 10","268","0.411442908611441","1"
"ZNF486","  2","167","  7","271","0.530748471454201","1"
"ZNF488","  4","165"," 20","258","0.0477885491047423","0.685742481328244"
"ZNF490","  6","163"," 16","262","0.412440271601465","1"
"ZNF491","  2","167"," 10","268","0.218986051780858","0.918488975969745"
"ZNF492","  3","166"," 17","261","0.0553315072007901","0.721981823782294"
"ZNF493","  8","161"," 15","263","0.931127019179579","1"
"ZNF496","  2","167"," 11","267","0.160967206250196","0.878892839127951"
"ZNF500","  2","167","  4","274","0.999999999999998","1"
"ZNF501","  1","168","  5","273","0.514815337354971","1"
"ZNF502","  4","165"," 10","268","0.65695881885658","1"
"ZNF506","  2","167","  3","275","1","1"
"ZNF507","  2","167","  7","271","0.530748471454201","1"
"ZNF510","  3","166","  2","276","0.571799443202513","1"
"ZNF511","  2","167","  4","274","0.999999999999998","1"
"ZNF512","  1","168","  9","269","0.132504078985264","0.806715694828861"
"ZNF512B","  2","167","  7","271","0.530748471454201","1"
"ZNF514","  4","165","  9","269","0.809641829012585","1"
"ZNF516","  6","163"," 12","266","0.87956944230756","1"
"ZNF518A","  5","164","  8","270","0.999999999999999","1"
"ZNF518B","  3","166"," 11","267","0.315323055617518","0.977353958805452"
"ZNF519","  3","166","  1","277","0.306295342264503","0.967317341596016"
"ZNF521","  7","162"," 10","268","0.970423059592454","1"
"ZNF525","  4","165"," 17","261","0.11283417710508","0.806715694828861"
"ZNF526","  1","168","  4","274","0.717302983522395","1"
"ZNF527","  6","163"," 15","263","0.506930961603421","1"
"ZNF528","  7","162"," 14","264","0.839412432110929","1"
"ZNF529","  1","168","  3","275","0.989831728180177","1"
"ZNF530","  4","165","  8","270","0.982227814027532","1"
"ZNF532","  6","163"," 17","261","0.332313976011","0.987943793141786"
"ZNF534","  8","161"," 19","259","0.484337405457785","1"
"ZNF536"," 23","146"," 61","217","0.0392035468944506","0.685742481328244"
"ZNF540","  3","166","  7","271","0.853088879204452","1"
"ZNF543","  2","167","  7","271","0.530748471454201","1"
"ZNF544","  6","163","  7","271","0.73417221769691","1"
"ZNF546","  4","165","  6","272","1","1"
"ZNF548","  1","168","  6","272","0.367718773581616","1"
"ZNF549","  4","165","  3","275","0.502530829071555","1"
"ZNF551","  1","168","  8","270","0.186398733431085","0.883477940569606"
"ZNF552","  1","168","  1","277","1","1"
"ZNF554","  3","166"," 12","266","0.239607074950008","0.949148852110599"
"ZNF555","  5","164"," 10","268","0.926144913849816","1"
"ZNF556","  6","163"," 24","254","0.0590755955357929","0.721981823782294"
"ZNF557","  5","164","  6","272","0.829929426442624","1"
"ZNF558","  3","166","  8","270","0.67829183294966","1"
"ZNF559","  2","167"," 11","267","0.160967206250196","0.878892839127951"
"ZNF559-ZNF177","  2","167","  8","270","0.398256320216477","1"
"ZNF560"," 16","153"," 41","237","0.139707050550311","0.82518637235588"
"ZNF561","  1","168","  6","272","0.367718773581616","1"
"ZNF563","  7","162","  7","271","0.499114960359793","1"
"ZNF564","  1","168","  7","271","0.261990128632664","0.949148852110599"
"ZNF565","  2","167","  1","277","0.662131620517469","1"
"ZNF566","  5","164"," 12","266","0.636296532737278","1"
"ZNF567","  1","168","  4","274","0.717302983522395","1"
"ZNF568","  4","165"," 11","267","0.525863630332","1"
"ZNF569","  5","164","  7","271","1","1"
"ZNF57","  1","168","  5","273","0.514815337354971","1"
"ZNF570","  1","168"," 11","267","0.0668464323856905","0.722824428847335"
"ZNF571","  1","168","  4","274","0.717302983522395","1"
"ZNF572","  4","165","  7","271","0.999999999999997","1"
"ZNF573"," 10","159"," 12","266","0.593948627139572","1"
"ZNF574","  2","167"," 12","266","0.117790639195719","0.806715694828861"
"ZNF575","  1","168","  1","277","1","1"
"ZNF576","  1","168","  0","278","0.801257783137453","1"
"ZNF577","  2","167","  9","269","0.296308464224681","0.949148852110599"
"ZNF578"," 12","157"," 31","247","0.213897385808555","0.918488975969745"
"ZNF581","  2","167","  2","276","1","1"
"ZNF582","  6","163"," 11","267","0.999999999999996","1"
"ZNF583","  1","168"," 13","265","0.0336606047427446","0.641621884451483"
"ZNF585A","  5","164"," 25","253","0.0227591996646084","0.601055453683411"
"ZNF585B","  7","162"," 24","254","0.105150325414251","0.802366303617717"
"ZNF586","  3","166","  5","273","0.999999999999998","1"
"ZNF587","  1","168","  4","274","0.717302983522395","1"
"ZNF589","  2","167","  4","274","0.999999999999998","1"
"ZNF592","  4","165"," 19","259","0.06395404726124","0.721981823782294"
"ZNF594","  6","163"," 10","268","0.999999999999997","1"
"ZNF595","  4","165"," 10","268","0.65695881885658","1"
"ZNF596","  1","168","  5","273","0.514815337354971","1"
"ZNF597","  6","163"," 15","263","0.506930961603421","1"
"ZNF598","  2","167","  8","270","0.398256320216477","1"
"ZNF599","  6","163","  8","270","0.907744835795785","1"
"ZNF600","  1","168"," 13","265","0.0336606047427446","0.641621884451483"
"ZNF605","  3","166"," 11","267","0.315323055617518","0.977353958805452"
"ZNF606","  3","166"," 18","260","0.0407012195077877","0.685742481328244"
"ZNF607","  6","163"," 15","263","0.506930961603421","1"
"ZNF608","  4","165"," 13","265","0.325684207270223","0.987943793141786"
"ZNF609","  4","165"," 17","261","0.11283417710508","0.806715694828861"
"ZNF610","  6","163"," 10","268","0.999999999999997","1"
"ZNF611","  5","164"," 15","263","0.330729705849002","0.987943793141786"
"ZNF613","  1","168","  8","270","0.186398733431085","0.883477940569606"
"ZNF614","  1","168","  7","271","0.261990128632664","0.949148852110599"
"ZNF615","  1","168"," 10","268","0.0941365412071712","0.757847640476094"
"ZNF616","  3","166","  9","269","0.531477381891113","1"
"ZNF620","  2","167","  2","276","1","1"
"ZNF621","  1","168","  7","271","0.261990128632664","0.949148852110599"
"ZNF622","  3","166","  6","272","0.999999999999998","1"
"ZNF623","  2","167","  7","271","0.530748471454201","1"
"ZNF624","  2","167","  7","271","0.530748471454201","1"
"ZNF625","  1","168","  5","273","0.514815337354971","1"
"ZNF626","  8","161"," 16","262","0.803892188612608","1"
"ZNF627","  4","165","  6","272","1","1"
"ZNF628","  1","168","  1","277","1","1"
"ZNF630","  5","164","  4","274","0.446045613889105","1"
"ZNF638","  8","161"," 22","256","0.267868134368567","0.949148852110599"
"ZNF639","  2","167","  2","276","1","1"
"ZNF641","  3","166","  7","271","0.853088879204452","1"
"ZNF644","  1","168","  9","269","0.132504078985264","0.806715694828861"
"ZNF645"," 11","158","  7","271","0.0667779531148672","0.722824428847335"
"ZNF646","  6","163"," 18","260","0.26537422317328","0.949148852110599"
"ZNF648","  8","161"," 20","258","0.401047692512137","1"
"ZNF649","  2","167"," 10","268","0.218986051780858","0.918488975969745"
"ZNF652","  3","166"," 10","268","0.411442908611441","1"
"ZNF654","  1","168","  2","276","0.999999999999999","1"
"ZNF655","  1","168","  4","274","0.717302983522395","1"
"ZNF658","  4","165"," 12","266","0.415983397805185","1"
"ZNF658B","  5","164"," 17","261","0.203900638239154","0.903956359743216"
"ZNF66","  2","167","  4","274","0.999999999999998","1"
"ZNF662","  4","165"," 14","264","0.252683629677218","0.949148852110599"
"ZNF663P","  1","168","  2","276","0.999999999999999","1"
"ZNF664","  3","166","  4","274","1","1"
"ZNF665","  7","162"," 19","259","0.331547906965243","0.987943793141786"
"ZNF667","  6","163"," 20","258","0.165215236392495","0.883477940569606"
"ZNF668","  5","164","  9","269","0.999999999999997","1"
"ZNF669","  1","168","  2","276","0.999999999999999","1"
"ZNF670","  3","166","  6","272","0.999999999999998","1"
"ZNF671","  3","166","  4","274","1","1"
"ZNF672","  1","168","  2","276","0.999999999999999","1"
"ZNF674","  1","168","  3","275","0.989831728180177","1"
"ZNF675","  3","166"," 10","268","0.411442908611441","1"
"ZNF676"," 18","151"," 49","229","0.0619541793921345","0.721981823782294"
"ZNF677","  3","166"," 21","257","0.0158662978305714","0.568788007759108"
"ZNF678","  2","167","  6","272","0.699518850960407","1"
"ZNF679","  8","161"," 20","258","0.401047692512137","1"
"ZNF680","  1","168","  6","272","0.367718773581616","1"
"ZNF681","  8","161"," 19","259","0.484337405457785","1"
"ZNF682","  5","164"," 14","264","0.415675632008957","1"
"ZNF683","  7","162"," 16","262","0.597537347156455","1"
"ZNF684","  4","165","  7","271","0.999999999999997","1"
"ZNF688","  1","168","  2","276","0.999999999999999","1"
"ZNF689","  1","168","  2","276","0.999999999999999","1"
"ZNF69","  1","168","  2","276","0.999999999999999","1"
"ZNF692","  1","168","  4","274","0.717302983522395","1"
"ZNF695","  3","166"," 13","265","0.180748220410221","0.883477940569606"
"ZNF696","  1","168","  2","276","0.999999999999999","1"
"ZNF697","  1","168","  3","275","0.989831728180177","1"
"ZNF699","  4","165"," 13","265","0.325684207270223","0.987943793141786"
"ZNF7","  1","168","  5","273","0.514815337354971","1"
"ZNF70","  1","168","  7","271","0.261990128632664","0.949148852110599"
"ZNF700","  5","164","  6","272","0.829929426442624","1"
"ZNF701","  3","166"," 11","267","0.315323055617518","0.977353958805452"
"ZNF702P","  3","166"," 14","264","0.135488266223209","0.806715694828861"
"ZNF704","  2","167","  7","271","0.530748471454201","1"
"ZNF705A","  6","163"," 16","262","0.412440271601465","1"
"ZNF705B","  1","168","  4","274","0.717302983522395","1"
