"","female_1","female_0","male_1","male_0","p_value","adjusted_p_value"
"MPND"," 1","106"," 1","170","0.999999999999998","1"
"MPO"," 4","103"," 2","169","0.312518692037205","1"
"MPP1"," 1","106"," 1","170","0.999999999999998","1"
"MPP2"," 4","103"," 2","169","0.312518692037205","1"
"MPP3"," 4","103"," 1","170","0.143932341229931","1"
"MPP4"," 6","101"," 2","169","0.0742730361279885","1"
"MPP5"," 2","105"," 3","168","0.999999999999997","1"
"MPP6"," 4","103"," 1","170","0.143932341229931","1"
"MPP7"," 1","106"," 4","167","0.693814107308467","1"
"MPPE1"," 1","106"," 1","170","0.999999999999998","1"
"MPPED1"," 1","106"," 3","168","0.967330798322832","1"
"MPPED2"," 2","105"," 2","169","0.999999999999998","1"
"MPRIP"," 8"," 99"," 7","164","0.346193434216405","1"
"MPV17"," 3","104"," 0","171","0.108492141381498","1"
"MPZL1"," 2","105"," 0","171","0.286865559264561","1"
"MPZL2"," 1","106"," 1","170","0.999999999999998","1"
"MPZL3"," 2","105"," 1","170","0.680353679627556","1"
"MR1"," 2","105"," 1","170","0.680353679627556","1"
"MRAP"," 4","103"," 3","168","0.52612126455169","1"
"MRAP2"," 1","106"," 0","171","0.812659244996201","1"
"MRC1","10"," 97"," 9","162","0.285367325025972","1"
"MRC2"," 5","102"," 4","167","0.470610920420767","1"
"MRE11A"," 3","104"," 3","168","0.871530895456888","1"
"MREG"," 2","105"," 1","170","0.680353679627556","1"
"MRGBP"," 1","106"," 1","170","0.999999999999998","1"
"MRGPRD"," 2","105"," 0","171","0.286865559264561","1"
"MRGPRE"," 1","106"," 0","171","0.812659244996201","1"
"MRGPRX1"," 5","102"," 2","169","0.155403873458458","1"
"MRGPRX2"," 6","101"," 4","167","0.274440673629528","1"
"MRGPRX3"," 3","104"," 3","168","0.871530895456888","1"
"MRGPRX4"," 3","104"," 0","171","0.108492141381498","1"
"MRI1"," 2","105"," 0","171","0.286865559264561","1"
"MRM1"," 3","104"," 1","170","0.320164865085647","1"
"MRO"," 2","105"," 0","171","0.286865559264561","1"
"MROH1"," 7","100"," 4","167","0.151881563145337","1"
"MROH2B"," 4","103","11","160","0.487228374868004","1"
"MROH5"," 3","104"," 5","166","0.999999999999999","1"
"MROH6"," 2","105"," 0","171","0.286865559264561","1"
"MROH7"," 3","104"," 2","169","0.593473499958091","1"
"MROH8"," 2","105"," 3","168","0.999999999999997","1"
"MROH9"," 2","105"," 3","168","0.999999999999997","1"
"MRPL1"," 1","106"," 0","171","0.812659244996201","1"
"MRPL10"," 4","103"," 0","171","0.0424384823215139","1"
"MRPL13"," 1","106"," 1","170","0.999999999999998","1"
"MRPL14"," 1","106"," 3","168","0.967330798322832","1"
"MRPL15"," 1","106"," 2","169","0.999999999999989","1"
"MRPL16"," 1","106"," 1","170","0.999999999999998","1"
"MRPL17"," 2","105"," 0","171","0.286865559264561","1"
"MRPL18"," 2","105"," 0","171","0.286865559264561","1"
"MRPL2"," 3","104"," 2","169","0.593473499958091","1"
"MRPL21"," 1","106"," 1","170","0.999999999999998","1"
"MRPL22"," 2","105"," 1","170","0.680353679627556","1"
"MRPL24"," 1","106"," 1","170","0.999999999999998","1"
"MRPL27"," 1","106"," 0","171","0.812659244996201","1"
"MRPL28"," 2","105"," 2","169","0.999999999999998","1"
"MRPL3"," 3","104"," 0","171","0.108492141381498","1"
"MRPL30"," 2","105"," 0","171","0.286865559264561","1"
"MRPL34"," 1","106"," 1","170","0.999999999999998","1"
"MRPL35"," 1","106"," 0","171","0.812659244996201","1"
"MRPL36"," 1","106"," 1","170","0.999999999999998","1"
"MRPL37"," 2","105"," 0","171","0.286865559264561","1"
"MRPL39"," 3","104"," 0","171","0.108492141381498","1"
"MRPL4"," 1","106"," 2","169","0.999999999999989","1"
"MRPL43"," 1","106"," 0","171","0.812659244996201","1"
"MRPL45"," 3","104"," 4","167","0.999999999999997","1"
"MRPL49"," 3","104"," 0","171","0.108492141381498","1"
"MRPL50"," 3","104"," 2","169","0.593473499958091","1"
"MRPL51"," 1","106"," 0","171","0.812659244996201","1"
"MRPL54"," 1","106"," 1","170","0.999999999999998","1"
"MRPL55"," 2","105"," 1","170","0.680353679627556","1"
"MRPS10"," 1","106"," 1","170","0.999999999999998","1"
"MRPS11"," 1","106"," 0","171","0.812659244996201","1"
"MRPS12"," 1","106"," 1","170","0.999999999999998","1"
"MRPS14"," 1","106"," 2","169","0.999999999999989","1"
"MRPS15"," 1","106"," 3","168","0.967330798322832","1"
"MRPS17"," 2","105"," 1","170","0.680353679627556","1"
"MRPS18C"," 1","106"," 0","171","0.812659244996201","1"
"MRPS2"," 1","106"," 0","171","0.812659244996201","1"
"MRPS22"," 1","106"," 2","169","0.999999999999989","1"
"MRPS23"," 2","105"," 0","171","0.286865559264561","1"
"MRPS24"," 1","106"," 0","171","0.812659244996201","1"
"MRPS25"," 1","106"," 2","169","0.999999999999989","1"
"MRPS28"," 1","106"," 0","171","0.812659244996201","1"
"MRPS30"," 1","106"," 3","168","0.967330798322832","1"
"MRPS31"," 3","104"," 0","171","0.108492141381498","1"
"MRPS35"," 3","104"," 5","166","0.999999999999999","1"
"MRPS36"," 1","106"," 2","169","0.999999999999989","1"
"MRPS5"," 2","105"," 2","169","0.999999999999998","1"
"MRPS7"," 1","106"," 0","171","0.812659244996201","1"
"MRPS9"," 2","105"," 2","169","0.999999999999998","1"
