,p_value,p_value_adjusted,unparallel_test,Equivalence_test,CI_test
pancreas_south_korea,0.051725847,1,0,1,0
pancreas_england,0.139108648,1,0,0,0
pancreas_scotland,0.198461177,1,0,0,0
pancreas_argentina,0.975149537,1,0,1,1
pancreas_brazil,0.718313773,1,0,0,1
pancreas_china,0.791979133,1,0,1,1
pancreas_japan,0.075998615,1,0,0,0
pancreas_india,0.01451292,1,0,0,0
pancreas_france,0.369036657,1,0,1,1
pancreas_germany,0.332093631,1,0,1,0
pancreas_italy,0.209639475,1,0,1,0
pancreas_spain,0.760694843,1,0,1,1
pancreas_switzerland,0.062725313,1,0,0,0
pancreas_australia,0.320898581,1,0,1,1
rectum_canada,0.000363848,0.068039549,0,0,0
rectum_usa_white,0.003148691,0.588805304,0,0,0
rectum_usa_black,0.321870825,1,0,0,1
rectum_south_korea,0.003429095,0.641240829,0,0,0
rectum_england,8.65E-06,0.00161757,1,0,0
rectum_scotland,0.096955316,1,0,0,0
rectum_argentina,0.000197435,0.036920429,1,0,0
rectum_brazil,0.017906021,1,0,0,0
rectum_china,0.041626716,1,0,1,0
rectum_japan,0.03849136,1,0,0,0
rectum_india,0.001274037,0.238244993,0,0,0
rectum_france,0.005965343,1,0,0,0
rectum_germany,0.013277214,1,0,0,0
rectum_italy,0.013225572,1,0,0,0
rectum_spain,9.55E-05,0.017857086,1,0,0
rectum_switzerland,0.000253364,0.047378989,1,0,0
rectum_australia,0.000124628,0.023305346,1,0,0
stomach_canada,8.40E-05,0.015715705,1,0,0
stomach_usa_white,1.12E-05,0.002100849,1,0,0
stomach_usa_black,1.95E-06,0.000363864,1,0,0
stomach_south_korea,4.60E-09,8.61E-07,1,0,0
stomach_england,0.000567572,0.106136011,0,0,0
stomach_scotland,0.000229925,0.042995919,1,0,0
stomach_argentina,0.001107969,0.207190158,0,0,0
stomach_brazil,4.77E-06,0.000892553,1,0,0
stomach_china,8.34E-07,0.000156051,1,0,0
stomach_japan,8.09E-08,1.51E-05,1,0,0
stomach_india,0.000329371,0.061592308,0,0,0
stomach_france,4.07E-06,0.000760437,1,0,0
stomach_germany,6.67E-08,1.25E-05,1,0,0
stomach_italy,3.65E-07,6.83E-05,1,0,0
stomach_spain,2.73E-06,0.000510425,1,0,0
stomach_switzerland,0.001031951,0.192974876,0,0,0
stomach_australia,1.41E-06,0.000263042,1,0,0
